TIME,RISE,COUN,ENER,DURATION,AMP,SHEAR STRESS
122.6243682,7,21,16,194,75,2.057906906
122.6789267,6,6,1,48,60,2.057906906
122.7221558,11,5,2,31,60,2.057906906
122.836934,3,6,2,66,60,2.064145627
122.967476,38,8,3,92,56,2.064145627
123.004399,3,6,2,56,61,2.064145627
123.026278,153,5,5,331,58,2.064145627
123.0700732,8,11,6,112,67,2.065655879
123.1574938,8,7,3,62,64,2.065655879
123.284786,3,4,1,56,55,2.065655879
123.4046882,17,6,2,41,58,2.072206364
123.9348862,15,4,1,31,58,2.097223946
124.0453448,15,51,124,551,89,2.097223946
124.0477433,7,39,57,355,80,2.097223946
124.052139,57,6,2,96,55,2.100357487
124.0547537,3,4,1,27,60,2.100357487
124.277629,7,23,20,217,77,2.100357487
124.3686322,6,13,6,106,64,2.107145949
124.413735,6,8,4,56,63,2.107145949
124.445457,24,21,18,204,72,2.107145949
124.610322,3,3,1,23,57,2.111228224
124.6317407,11,5,2,35,62,2.111228224
124.6696557,1,5,2,42,61,2.111228224
124.9086277,47,38,48,341,75,2.114762806
124.996366,47,1,48,341,50,2.114762806
125.056168,6,4,1,26,61,2.122505726
125.0601007,8,4,1,31,55,2.122505726
125.0630138,1,9,3,96,57,2.122505726
125.0786953,6,9,4,61,64,2.122505726
125.131083,8,30,39,289,79,2.122505726
125.208932,3,4,2,53,60,2.122505726
125.2937008,2,6,3,55,63,2.122505726
125.296265,27,27,25,241,76,2.122505726
125.3230452,3,5,2,30,63,2.129200958
125.394703,6,4,1,26,62,2.129200958
125.585089,435,15,8,515,69,2.131017061
125.878371,5,5,2,29,62,2.132632854
125.9219742,15,18,14,157,69,2.132632854
125.9248892,3,25,16,210,70,2.132632854
125.955829,565,6,4,588,62,2.132632854
126.072926,15,7,3,72,61,2.133448554
126.115514,14,4,1,19,58,2.133448554
126.1399113,25,13,8,109,67,2.133448554
126.2277267,12,8,3,69,62,2.133448554
126.5395662,7,8,3,75,63,2.136330455
126.717045,2,3,1,25,57,2.143835387
126.8378872,362,9,5,379,58,2.151956429
126.8718498,3,4,1,29,60,2.151956429
126.9139927,3,2,1,9,58,2.151956429
127.1058207,14,8,4,60,64,2.155859989
127.107871,15,18,16,148,74,2.155859989
127.1245372,4,6,2,50,64,2.155859989
127.1607758,3,31,45,294,77,2.155859989
127.163331,7,4,1,33,59,2.155859989
127.1734777,11,10,6,93,66,2.155859989
127.188937,5,24,17,218,75,2.155859989
127.1995552,5,4,1,53,53,2.155859989
127.295206,6,6,2,56,62,2.155859989
127.298701,2,8,2,58,57,2.155859989
127.3731153,41,13,9,100,65,2.158361514
127.4131497,2,10,7,76,67,2.158361514
127.5316103,3,3,1,49,54,2.158361514
127.55956,6,20,16,163,69,2.170367197
127.628002,6,8,6,102,64,2.170367197
127.6518943,10,8,4,101,62,2.170367197
127.7807043,6,3,1,26,59,2.170367197
127.911465,2,10,5,100,60,2.176060195
127.9919698,2,11,6,97,64,2.176060195
128.1198922,41,19,12,135,66,2.180810927
128.154269,19,4,1,52,54,2.180810927
128.1607733,3,16,14,213,69,2.180810927
128.2207277,3,4,1,52,59,2.180810927
128.2251548,14,4,1,30,59,2.180810927
128.3572087,2,7,2,55,60,2.19020416
128.4632407,382,50,70,762,83,2.19020416
128.5242048,3,3,1,26,58,2.19020416
128.844161,3,4,2,53,59,2.201714676
128.8908797,11,10,7,138,66,2.201714676
128.9959138,5,3,1,25,58,2.201714676
129.0488817,4,11,5,85,64,2.201714676
129.08995,31,3,1,51,56,2.205536294
129.197224,7,15,8,112,67,2.205536294
129.268362,576,45,102,960,86,2.205536294
129.304579,6,21,16,188,73,2.212564426
129.4048132,10,17,10,163,69,2.212564426
129.4638183,15,14,9,121,70,2.212564426
129.5114542,7,10,5,88,64,2.212564426
129.5497573,4,6,2,57,60,2.212564426
129.5974183,405,49,88,904,80,2.217754879
129.6375442,7,27,26,216,76,2.217754879
129.6830252,4,4,1,27,60,2.217754879
129.7476052,7,16,11,190,72,2.217754879
129.749608,7,1,11,190,50,2.217754879
129.7620903,6,16,8,172,70,2.217754879
129.7809353,6,8,3,86,63,2.217754879
129.8303567,3,3,1,23,58,2.222867203
129.8512803,6,15,9,126,67,2.222867203
129.9233642,3,13,7,108,66,2.222867203
129.9817102,52,2,1,52,50,2.222867203
129.9858848,83,19,13,208,67,2.222867203
130.053803,6,8,5,86,65,2.228741766
130.0589812,245,10,6,333,65,2.228741766
130.0661923,4,5,2,54,61,2.228741766
130.1556557,8,9,5,99,67,2.228741766
130.1871222,6,9,3,75,58,2.228741766
130.1906802,6,2,2,157,53,2.228741766
130.2163147,10,33,44,566,80,2.228741766
130.2583912,4,4,1,54,59,2.228741766
130.3271673,3,4,2,54,60,2.233525098
130.380696,14,8,6,378,64,2.233525098
130.3920773,14,1,6,378,50,2.233525098
130.465268,18,7,2,70,57,2.233525098
130.4699763,3,10,6,110,61,2.233525098
130.697511,2,5,2,52,60,2.23512793
130.761138,6,4,1,29,55,2.23512793
130.8732847,3,4,2,29,63,2.247681634
130.8759013,3,8,3,88,57,2.247681634
130.933669,270,5,3,320,54,2.247681634
130.9991042,16,6,2,65,58,2.247681634
131.0283382,4,4,1,24,62,2.247681634
131.0893882,3,8,6,503,60,2.253021375
131.1312722,12,8,3,62,66,2.253021375
131.172118,6,13,6,123,63,2.253021375
131.2175458,6,8,4,79,65,2.253021375
131.2828038,5,7,2,59,60,2.253021375
131.316649,8,8,4,58,66,2.262453736
131.398716,9,43,30,748,78,2.262453736
131.495391,16,13,8,116,65,2.262453736
131.713759,6,5,2,56,60,2.262785175
131.7388687,9,4,1,43,55,2.262785175
131.804902,9,1,1,43,50,2.274426219
131.8658642,2,4,1,52,59,2.274426219
131.9984933,3,26,17,280,70,2.274426219
132.0380018,3,3,2,407,56,2.274426219
132.0525233,3,1,2,407,50,2.278417455
132.0649122,4,5,2,30,64,2.278417455
132.170333,6,8,4,84,67,2.278417455
132.2698243,7,28,29,906,77,2.278417455
132.3237057,5,5,2,58,58,2.288294331
132.338113,3,8,6,94,68,2.288294331
132.5411008,2,7,3,60,62,2.288294331
132.5943507,3,2,1,49,50,2.300475942
132.6586332,87,6,2,107,54,2.300475942
132.713734,18,9,4,99,61,2.300475942
133.0277202,6,13,8,113,68,2.302680454
133.1089522,2,5,1,36,60,2.306599308
133.1156262,8,17,14,195,72,2.306599308
133.1229053,4,5,1,49,59,2.306599308
133.1922537,5,5,2,52,60,2.306599308
